@relation incubator-hivemall_Concat_Single_LSTM_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute 'LSTM C.E.' numeric
@attribute isBuggy {buggy,clean}

@data
6,0.086957,0.043478,0,1,0,1,1,18,0,2,19,48,0.083333,41,27,46,3.518396,buggy
10,0.028777,0.043165,1,1,0,1,1,11,0,4,19,31,0.290323,7,6,139,2.258878,buggy
4,0.016949,0.016949,0,1,0,1,1,15,0,6,82,248,0.120968,39,25,118,2.229902,buggy
19,0.140625,0.007813,0,3,50,3,2,18,40,2,19,48,0.083333,41,27,128,3.518396,buggy
10,0.018868,0.028302,2,2,323,2,2,15,323,6,82,248,0.120968,39,25,212,2.229902,buggy
26,0.173469,0.091837,3,0,0,1,1,15,0,1,1,6,0.333333,6,6,98,2.796491,clean
64,0.046154,0.043357,10,1,0,1,1,11,0,4,19,31,0.290323,7,6,715,2.258878,buggy
15,0.033195,0.029046,3,0,0,1,1,17,0,1,1,1,1,24,13,241,2.80164,clean
5,0.004098,0.016393,1,4,234,5,4,20,18,1,3,10,0.4,3,3,244,2.44224,buggy
13,0.030303,0.048485,2,2,5,2,2,11,5,4,19,31,0.290323,7,6,165,2.258878,buggy
3,0.028986,0.014493,0,1,0,1,1,15,0,6,82,248,0.120968,39,25,69,2.229902,buggy
6,0.025862,0.025862,1,5,55,5,3,18,40,2,19,48,0.083333,41,27,116,3.518396,buggy
2,0.003546,0.003546,0,3,197,3,3,15,178,3,34,67,0.238806,6,5,282,2.302129,buggy
8,0.014706,0.014706,1,5,382,5,2,15,13,6,82,248,0.120968,39,25,272,2.229902,buggy
6,0.004298,0.004298,1,4,372,4,2,11,3,4,19,31,0.290323,7,6,698,2.258878,buggy
69,0.069968,0.004306,3,2,83,2,2,6,83,1,25,67,0.059701,1,1,929,2.477916,buggy
19,0.036101,0.032491,2,6,465,6,4,15,184,6,82,248,0.120968,39,25,277,2.229902,buggy
2,0.004132,0.004132,0,4,234,6,4,20,0,1,1,7,0.142857,21,21,242,2.338181,clean
36,0.054902,0.086275,3,5,465,5,4,15,13,6,82,248,0.120968,39,25,255,2.229902,buggy
2,0.002066,0.002066,0,5,171,5,2,20,111,1,3,10,0.4,3,3,484,2.44224,buggy
2,0.005,0.005,0,2,88,2,1,14,88,1,13,38,0.236842,13,13,200,3.606279,buggy
4,0.102564,0,0,3,189,3,2,20,18,2,12,20,0.3,20,20,39,2.337705,buggy
84,0.094538,0.081933,10,2,11,2,1,17,11,1,3,7,0.285714,10,10,476,2.532641,buggy
3,0.011429,0.005714,0,1,0,1,1,16,0,2,9,22,0.227273,25,14,175,2.351593,buggy
