@relation guacamole-client_Single_NGLP_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute NGLP numeric
@attribute isBuggy {clean,buggy}

@data
2,0,0.00995,0,1,30,3,2,23,29,5,70,390,0.035897,13,13,201,0,clean
58,0.158333,0.083333,19,1,0,1,1,9,0,1,5,14,0.428571,280,Infinity,240,21.491542,buggy
6,0.007737,0.003868,1,1,366,6,3,10,0,1,4,14,0.071429,95,50.5,517,508.654169,clean
40,0.100251,0,4,5,98,16,3,17,0,1,3,4,1,40,40,399,19.687545,clean
11,0.021912,0,0,3,824,16,5,13,62,1,2,3,0.666667,8,4.5,502,112.762765,clean
1,0,0.010638,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,94,0,clean
29,0.201439,0.007194,2,1,407,3,2,17,407,2,11,13,0.384615,129,72.5,139,95.266775,buggy
41,0.060241,0.063253,2,1,0,1,1,14,0,1,6,6,0.5,134,77.5,332,33.99899,buggy
5,0.022026,0,0,1,68,4,2,22,8,3,12,13,0.230769,16,16,227,90.204718,clean
191,0.003181,0.199364,5,15,458,38,3,19,1,1,5,18,0.222222,166,109.5,943,0,buggy
2,0,0.045455,0,0,0,2,2,10,0,5,70,390,0.005128,11,11,44,0,clean
5,0.045455,0,0,1,261,8,4,19,27,3,25,49,0.081633,24,24,110,171.362518,clean
13,0.042484,0,1,1,74,4,3,11,19,1,5,8,0.375,13,13,306,6.32795,buggy
44,0.272727,0.127273,2,2,580,7,3,13,0,1,13,41,0.02439,230,175.5,110,0,clean
5,0.047619,0,0,1,176,5,3,19,27,3,25,49,0.081633,24,24,105,171.362518,clean
26,0.003165,0.079114,0,5,693,18,3,15,0,2,3,2,1,215,93.16667,316,0,clean
3,0.038462,0.019231,1,0,0,2,1,15,0,1,1,2,0.5,11,7.5,52,0,clean
