@relation crunch_Concat_Single_LSTM_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute 'LSTM C.E.' numeric
@attribute isBuggy {clean,buggy}

@data
14,0.053846,0.053846,0,0,0,1,1,13,0,1,1,1,1,2,1.5,130,18.280964,clean
54,0.945455,0.036364,2,0,0,1,1,8,0,1,2,2,0.5,1,1,55,18.360281,clean
13,0.039394,0,1,0,0,1,1,11,0,3,4,4,0.75,3,2.5,330,18.285955,clean
14,0.110236,0,1,1,0,1,1,11,0,3,9,14,0.285714,2,1.5,127,18.530489,buggy
13,0.060748,0,1,0,4,2,2,10,4,5,12,17,0.117647,4,2,214,18.285955,clean
5,0.016216,0.010811,1,1,450,4,4,14,64,2,2,2,0.5,6,6,185,18.432743,clean
11,0.07619,0.028571,1,0,0,1,1,14,0,1,5,6,0.5,2,2,105,18.337053,clean
3,0.010363,0.005181,1,1,70,3,3,5,64,1,1,1,1,7,7,193,18.444176,clean
22,0.053125,0.015625,5,0,0,1,1,9,0,1,3,3,0.333333,1,1,320,18.149837,clean
6,0.011765,0.002353,0,1,27,2,1,14,27,1,5,6,0.5,2,2,425,18.337053,clean
44,0.090909,0.011655,6,2,28,3,2,11,0,3,9,14,0.285714,2,1.5,429,18.530489,buggy
2,0.007813,0.007813,0,1,0,1,1,11,0,3,9,14,0.285714,2,1.5,128,18.530489,buggy
30,0.043919,0.006757,0,0,0,1,1,8,0,1,1,1,1,3,3,592,18.097145,clean
4,0.075472,0,0,1,322,2,2,9,322,2,3,3,1,1,1,53,16.802027,buggy
13,0.060748,0,1,0,0,1,1,11,0,3,4,4,0.75,3,2.5,214,18.285955,clean
99,0.10582,0.068783,19,1,0,1,1,13,0,3,4,16,0.1875,4,3.5,567,18.173513,buggy
8,0.012766,0.021277,1,0,0,1,1,9,0,1,3,3,0.333333,1,1,235,18.149837,clean
