@relation jena_Add_LSTM_metric-weka.filters.unsupervised.attribute.Remove-R1

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute 'Modify Files' numeric
@attribute Directories numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute 'LSTM C.E.' numeric
@attribute bug {1,0}

@data
269,136,133,16,14,10,68,31,16.940001,0
18,11,7,1,3,3,16,3,5.436005,0
146,99,47,18,7,4,66,18,18.925184,0
15,14,1,1,1,1,11,2,4.83918,0
723,583,140,40,24,14,156,39,19.422731,0
19,4,15,0,1,1,13,3,3.925382,0
2,1,1,0,1,1,6,5,3.932105,0
70,42,28,3,5,3,28,14,8.687236,0
52,23,29,5,1,1,1,1,12.766745,0
2540,1618,922,103,58,26,282,88,20.260162,0
354,199,155,29,12,5,119,25,19.90539,0
41,12,29,0,2,2,9,3,5.533028,0
7,7,0,0,2,2,4,3,4.614968,0
164,99,65,8,8,5,13,9,16.488218,1
84,33,51,5,1,1,1,1,7.262321,0
65,49,16,6,3,2,12,5,10.486608,0
91,44,47,1,4,3,5,5,8.059474,0
162,159,3,4,4,2,7,6,19.489658,0
17,17,0,0,1,1,3,1,6.495336,0
4,2,2,0,1,1,1,1,4.423493,0
41,34,7,6,2,2,9,5,8.535212,0
2,1,1,0,1,1,1,1,3.864554,0
2,1,1,0,1,1,7,1,3.935097,0
237,174,63,3,6,3,24,8,19.629921,0
5604,5349,255,90,60,23,632,135,25.280205,0
86,65,21,6,1,1,10,2,15.711137,0
14642,11142,3500,477,282,106,1545,948,26.859232,0
120,86,34,9,3,1,81,23,19.705776,0
46,34,12,3,3,3,27,6,12.013247,0
6,4,2,2,1,1,1,1,4.251858,0
74,28,46,7,7,1,39,15,6.885968,0
143,142,1,1,4,1,18,9,18.739338,0
8,2,6,2,1,1,4,2,4.086448,0
868,424,444,23,16,9,36,16,20.107769,0
3456,2853,603,65,30,7,71,45,23.742649,1
321,243,78,11,8,6,92,20,20.969421,1
519,511,8,8,8,4,11,9,23.54187,0
5,2,3,2,1,1,7,1,4.112486,0
138,83,55,5,7,3,96,27,17.763632,0
15,14,1,1,1,1,12,2,4.83918,0
103,29,74,5,6,5,12,6,10.212867,0
230,163,67,3,3,1,5,3,19.784197,0
27,22,5,3,2,2,7,3,5.53336,0
129,65,64,3,5,3,64,16,13.050595,0
2,1,1,0,1,1,2,1,3.864554,0
4,3,1,0,1,1,3,1,3.976083,0
5,1,4,1,1,1,2,1,3.864554,0
10,5,5,0,1,1,3,1,4.425929,0
17,10,7,2,2,2,26,5,4.532482,0
2,1,1,0,1,1,3,2,3.825187,0
1265,978,287,28,25,4,199,51,19.893227,0
2924,2773,151,40,45,11,323,95,26.059385,0
554,353,201,42,18,6,78,31,19.246166,1
2,1,1,0,1,1,4,2,3.998027,0
108,45,63,1,1,1,2,2,11.808938,0
1315,740,575,60,29,10,155,48,21.156269,1
10,7,3,0,2,1,7,4,4.669388,0
137,80,57,6,4,4,27,5,14.476604,0
48,30,18,4,4,2,4,4,10.104822,1
39,34,5,4,1,1,3,2,8.482342,0
13,7,6,4,3,2,32,7,5.093752,0
376,368,8,2,3,1,20,4,21.359098,0
144,139,5,3,3,2,4,4,18.763912,0
26,17,9,2,2,1,39,8,6.562132,0
2,1,1,0,1,1,4,1,3.943067,0
803,775,28,6,9,5,46,30,23.227526,1
542,542,0,2,2,1,2,2,23.131739,1
133,54,79,8,5,2,53,11,8.664551,0
2,1,1,0,1,1,4,1,4.036842,0
4,2,2,0,1,1,26,3,3.985874,0
125,64,61,6,1,1,1,1,13.452149,0
4,3,1,0,2,2,2,2,3.977415,0
32118,32118,0,261,261,37,1010,309,30.1563,0
311,187,124,9,3,3,32,8,18.526791,0
24,14,10,2,2,1,30,5,4.54525,0
5,5,0,0,1,1,10,4,4.054636,0
20,20,0,1,3,1,3,3,6.186651,0
2,1,1,0,1,1,6,3,4.014313,0
566,444,122,11,11,7,81,16,19.402908,0
1,1,0,0,1,1,9,3,4.014313,0
9,9,0,3,1,1,2,2,4.245552,0
4,2,2,0,2,1,6,4,4.405118,0
21,12,9,1,1,1,1,1,6.395267,0
5,3,2,0,3,2,23,3,4.053274,0
386,172,214,12,5,2,6,5,20.305067,0
679,605,74,7,80,48,538,262,20.851814,0
13,6,7,0,1,1,5,2,4.731653,0
131,66,65,12,4,1,25,8,17.495811,0
150,75,75,0,75,8,311,77,7.493721,0
21,13,8,2,5,5,135,31,5.029846,0
557,521,36,12,12,3,35,15,19.291821,0
298,258,40,6,4,4,30,12,19.374149,0
20012,12797,7215,1051,490,163,1029,745,27.91585,0
7,3,4,0,1,1,18,2,4.409591,0
131,93,38,14,6,2,83,31,19.193565,0
82,82,0,1,1,1,1,1,18.337263,0
16,12,4,0,1,1,17,5,5.733109,0
28,26,2,3,1,1,9,5,6.386008,0
33,26,7,5,3,3,80,17,6.841601,0
2,2,0,1,1,1,1,1,3.852752,0
16,10,6,5,1,1,35,8,5.675699,0
51,48,3,3,1,1,13,5,13.26899,0
8,5,3,1,1,1,1,1,4.328003,0
2,1,1,0,1,1,24,6,3.994923,0
311,187,124,9,3,3,19,8,18.526791,0
63,25,38,2,4,2,49,11,5.075879,0
10,8,2,2,2,2,53,12,4.562937,0
157,82,75,6,5,3,34,6,16.541046,0
10,5,5,3,1,1,5,3,4.319495,0
3,2,1,0,1,1,2,1,3.935097,0
88,44,44,6,9,6,118,23,10.225762,0
11,8,3,0,2,2,37,10,4.560924,0
63,56,7,6,7,3,40,16,18.041012,0
19,18,1,1,1,1,22,4,5.332271,0
399,234,165,4,4,2,6,4,14.585422,0
8,2,6,1,3,3,13,8,4.412047,0
141,80,61,3,2,2,3,2,19.080095,0
11,9,2,3,2,2,11,6,4.739355,0
24,24,0,0,1,1,13,2,6.438312,0
6,3,3,0,1,1,2,1,4.088352,0
11,10,1,2,1,1,2,1,5.268046,0
1672,1609,63,36,22,6,100,32,20.240128,1
6,5,1,1,1,1,4,2,4.167227,0
1,1,0,0,1,1,32,6,3.779455,0
9,7,2,1,1,1,3,3,4.625308,0
224,146,78,5,4,2,16,9,20.119183,0
719,237,482,9,8,3,38,12,20.687391,0
28,17,11,3,3,2,10,4,6.04529,0
8221,6318,1903,293,154,57,1254,491,23.942022,0
56,37,19,6,5,2,10,5,8.032113,0
6,6,0,0,1,1,4,2,4.25534,0
162,133,29,7,3,1,22,9,22.055466,0
14,13,1,2,1,1,16,3,4.962184,0
21,21,0,1,1,1,1,1,6.199097,0
30,13,17,3,1,1,2,1,4.996568,0
4,2,2,0,2,2,13,2,4.774536,0
3,2,1,0,2,2,25,5,4.287993,0
1813,869,944,30,12,5,242,51,21.341572,0
31,15,16,4,4,3,82,13,4.934601,0
13,10,3,0,1,1,6,4,4.830229,0
16,10,6,5,1,1,37,8,5.675699,0
146,58,88,2,2,2,14,7,15.0995,0
352,351,1,2,3,3,20,11,20.466312,0
225,89,136,1,3,3,8,5,19.191452,0
30,16,14,5,4,2,45,6,5.123781,0
55,34,21,5,2,1,16,6,8.521653,0
41,20,21,10,5,3,22,10,5.356564,0
22,14,8,5,4,2,11,4,5.305228,0
2,2,0,1,1,1,5,4,3.852752,0
2,1,1,0,1,1,1,1,3.825187,0
259,187,72,19,4,1,30,13,18.761496,0
4,2,2,0,1,1,17,4,4.101562,0
1,1,0,0,1,1,16,4,3.852752,0
340,279,61,16,10,4,172,34,18.360201,0
6,1,5,1,1,1,2,2,3.779455,0
187,159,28,9,6,6,89,14,20.296837,0
699,661,38,19,17,6,143,31,21.537107,0
33,11,22,6,2,1,38,12,4.921982,0
103,95,8,6,2,2,4,2,14.906745,0
28,6,22,4,3,2,16,10,4.698996,0
64,38,26,4,2,1,14,2,5.40172,0
1904,932,972,117,3,1,9,4,15.737857,0
23,19,4,4,3,3,46,11,5.218946,0
413,183,230,2,4,1,6,5,18.134796,1
126,84,42,3,1,1,26,6,16.589584,0
2,1,1,0,1,1,67,9,4.200353,0
11938,5503,6435,0,47,16,203,94,22.781027,0
17,13,4,0,1,1,3,2,4.887499,0
345,204,141,3,1,1,1,1,18.953264,0
78,43,35,8,4,2,21,6,9.971136,0
90,41,49,7,1,1,25,6,6.442587,0
188,85,103,4,2,1,2,2,18.507013,0
1270,627,643,201,389,144,1204,712,18.927048,1
52,28,24,0,3,1,13,7,6.672244,0
88,2,86,0,1,1,16,3,4.200433,0
2,1,1,0,1,1,4,1,3.992431,0
90,89,1,3,2,2,15,9,18.429361,0
15,15,0,0,1,1,4,3,5.131772,0
304,223,81,9,11,5,75,29,22.24375,0
6,6,0,0,2,1,13,6,4.221576,1
12,9,3,1,2,1,2,2,5.183526,0
3055,1805,1250,151,12,3,63,31,20.983744,0
80,3,77,2,2,1,46,9,4.004513,0
91,91,0,1,1,1,1,1,19.722708,0
68,50,18,0,1,1,3,2,13.414721,0
33,12,21,5,8,2,8,8,4.636261,0
5,5,0,0,1,1,1,1,4.036842,0
4,1,3,0,1,1,3,2,4.014313,0
154,43,111,5,6,4,61,15,13.624749,0
406,333,73,20,11,5,129,38,21.679035,0
141,70,71,4,9,9,90,35,16.55027,0
333,211,122,24,13,4,25,18,17.891964,0
8,4,4,1,1,1,7,4,3.994773,0
13,12,1,1,1,1,1,1,5.155139,0
47,18,29,1,1,1,1,1,5.500481,1
21,11,10,1,1,1,15,6,4.708575,0
4,2,2,1,1,1,1,1,3.948342,0
11,8,3,1,1,1,13,3,5.762058,0
55,30,25,5,3,3,18,8,7.679968,0
924,924,0,11,11,2,37,11,26.144945,0
221,100,121,1,1,1,15,3,20.078777,0
304,178,126,29,19,17,285,81,20.21574,0
3,2,1,0,1,1,9,4,4.14527,0
188,85,103,4,2,1,4,2,18.507013,0
609,383,226,39,20,14,267,54,21.648407,0
12,4,8,1,1,1,2,1,3.903915,0
9,4,5,1,1,1,7,5,4.225882,0
14,3,11,8,2,2,14,4,4.387659,0
4,2,2,1,1,1,3,1,4.21445,0
6,3,3,2,1,1,12,5,4.375732,0
18,9,9,3,3,2,15,9,4.991223,0
83,36,47,3,1,1,5,3,10.138608,0
214,106,108,12,7,6,89,28,20.261553,0
6,4,2,0,2,2,19,9,3.958002,0
78,3,75,2,1,1,3,1,4.179687,0
125,65,60,10,8,6,179,32,16.663921,0
98,45,53,0,3,1,21,3,10.097346,0
32,20,12,0,1,1,2,1,5.778642,0
155,90,65,2,3,2,5,3,18.383364,1
23,10,13,3,1,1,10,5,5.046313,0
72,37,35,3,3,2,25,5,12.72616,0
12,6,6,5,1,1,5,3,4.155873,0
1507,1306,201,22,26,10,39,31,23.172453,0
12,1,11,0,1,1,7,3,3.989208,0
11,1,10,2,1,1,1,1,3.852752,0
183,125,58,21,12,10,116,37,19.578598,0
8,6,2,0,1,1,8,2,4.354299,0
11,8,3,0,2,2,2,2,4.294016,0
316,315,1,2,3,3,15,10,19.820591,0
