@relation groovy_developer_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute isBuggy {clean,buggy}

@data
2,0.011364,0.011364,0,1,499,3,2,13,84,1,9,17,0.705882,345,185.83333,88,clean
2,0.01,0.01,0,1,254,3,2,1,0,1,45,201,0.004975,517,366,100,buggy
49,0.02642,0.005945,0,16,154,18,5,0,6,1,1,1,1,444,293,1514,buggy
3,0,0.057692,0,1,414,2,2,16,414,1,54,421,0.114014,303,144.33333,52,buggy
3,0,0.107143,0,1,306,2,1,22,306,1,6,53,0.132075,285,236.5,28,clean
0,0,0,0,0,0,1,1,8,0,1,16,212,0.004717,289,289,88,clean
0,0,0,0,0,140,2,1,13,140,1,1,17,0.235294,413,253.83333,47,clean
23,0.002932,0.001885,1,5,295,9,3,17,167,1,24,95,0.178947,199,199,4775,buggy
6,0.013393,0.013393,0,1,0,1,1,21,0,1,51,278,0.183453,190,190,224,buggy
4,0.012195,0.012195,1,3,254,5,2,0,144,1,45,201,0.348259,516,365,164,clean
0,0,0,0,0,0,1,1,8,0,1,16,212,0.004717,289,289,103,clean
130,0.000779,0.049864,4,24,534,33,6,11,32,2,2,3,0.666667,661,311.66666,2567,buggy
12,0.014535,0.020349,3,4,3,7,1,0,0,1,1,1,1,558,407,344,buggy
1,0.000627,0,0,14,462,19,5,7,137,1,1,1,1,313,153.83333,1595,buggy
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,227,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,61,clean
4,0.001907,0.000636,0,6,459,11,4,1,2,1,2,2,0.5,636,286.66666,1573,clean
5,0.025862,0.017241,1,0,0,1,1,2,0,1,1,3,0.666667,640,290.66666,116,clean
10,0.07438,0.008264,0,2,3,2,1,11,3,1,21,68,0.073529,193,193,121,buggy
6,0.012552,0.012552,1,1,25,2,2,16,25,1,3,8,0.5,316,165,239,buggy
7,0.002114,0.005285,2,9,154,14,4,9,3,1,1,1,1,188,139.5,946,buggy
43,0.120235,0.005865,5,4,488,7,3,1,74,2,13,28,0.5,644,294.66666,341,buggy
3,0.003356,0.006711,0,0,109,2,2,12,109,1,5,6,0.666667,384,233,298,clean
1,0.018182,0,0,3,110,4,2,14,0,1,20,76,0.052632,393,242,55,buggy
24,0.057143,0.057143,1,1,0,1,1,1,0,1,3,51,0.078431,571,420,210,buggy
7,0.003766,0.002825,2,0,0,1,1,23,0,1,2,2,1,388,228.83333,1062,clean
0,0,0,0,0,0,1,1,8,0,1,16,212,0.004717,289,289,31,clean
0,0,0,0,0,0,1,1,8,0,1,16,212,0.004717,289,289,67,clean
429,0,0.792976,1,1,9,7,1,21,0,1,2,19,0.157895,583,432,541,clean
5,0.00132,0,0,0,13,2,2,16,13,1,1,1,1,8,8,3787,clean
24,0.007547,0.083019,1,4,12,4,1,16,0,1,1,1,1,236,236,265,buggy
33,0.030556,0.061111,5,10,56,11,3,15,7,1,3,6,0.666667,120,71.5,360,buggy
5,0.011976,0.017964,1,3,377,5,2,17,0,1,3,3,0.333333,331,171.83333,167,clean
1,0.027778,0,0,1,105,2,2,2,105,1,6,12,0.25,153,104.5,36,buggy
2,0,0.030769,0,1,414,2,2,16,414,1,54,421,0.114014,303,144.33333,65,buggy
6,0.042857,0.042857,1,1,0,1,1,20,0,1,3,38,0.078947,135,86.5,70,buggy
4,0.012579,0.012579,0,1,248,3,2,0,170,1,45,201,0.348259,516,365,159,clean
5,0.003984,0.005976,0,0,0,2,1,20,0,1,10,23,0.565217,405,245.83333,502,clean
1,0,0.010204,0,1,276,3,3,15,0,1,1,1,1,241,192.5,98,clean
70,0.31401,0.024155,8,7,21,7,1,22,6,1,3,3,1,633,283.66666,207,buggy
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,80,clean
4,0.00271,0.00813,0,2,254,3,2,0,144,1,12,21,0.714286,514,363,369,buggy
2,0.016393,0.016393,0,0,254,2,2,0,254,1,45,201,0.348259,516,365,61,clean
4,0.025641,0.008547,1,1,0,1,1,15,0,1,1,9,0.111111,159,159,117,buggy
55,0.10223,0,3,4,488,8,4,1,48,2,13,28,0.5,644,294.66666,538,buggy
17,0.020118,0,1,5,46,6,2,23,1,1,3,6,0.333333,110,61.5,845,buggy
133,0.308682,0.118971,7,20,112,21,2,9,21,1,2,2,1,662,312.66666,311,buggy
0,0,0,0,0,0,1,1,19,0,1,18,235,0.004255,430,270.8333,40,clean
6,0.013216,0.013216,1,3,254,7,3,1,0,1,45,201,0.004975,517,366,227,buggy
6,0.009009,0.009009,2,1,443,3,2,9,86,1,1,1,1,318,158.83333,333,clean
2,0.002725,0.002725,0,1,0,2,1,14,0,1,7,31,0.290323,421,261.8333,367,buggy
6,0.010989,0.010989,0,2,46,2,2,8,46,2,6,6,1,224,224,273,buggy
2,0.003745,0.003745,0,12,109,13,3,11,24,1,2,5,1,381,230,267,buggy
6,0.011673,0.011673,2,0,248,2,1,0,248,1,45,201,0.348259,516,365,257,clean
1,0,0.011494,0,1,0,1,1,21,0,1,51,278,0.183453,190,190,87,buggy
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,52,clean
1,0,0.002252,0,0,388,2,2,9,388,1,14,39,0.435897,283,234.5,444,clean
2,0.003521,0.003521,0,3,110,7,3,22,0,1,5,12,0.25,167,118.5,284,clean
2,0,0.009217,0,1,392,2,2,13,392,1,10,54,0.222222,284,235.5,217,clean
9,0.003205,0.00641,2,19,138,21,3,18,0,1,1,1,1,129,129,936,buggy
16,0.014235,0.014235,6,2,254,4,2,1,0,1,45,201,0.004975,517,366,562,buggy
2,0.009524,0.009524,0,1,203,3,2,14,0,1,1,2,0.5,486,335,105,clean
0,0,0,0,0,0,1,1,14,0,1,2,12,0.083333,379,219.83333,360,clean
3,0.00188,0.00094,1,2,274,5,4,22,71,1,4,4,0.75,238,189.5,1064,buggy
8,0.032258,0.004608,0,2,317,3,1,11,3,1,21,68,0.073529,193,193,217,buggy
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,101,clean
2,0,0.035088,0,2,104,3,1,13,0,1,22,70,0.042857,392,241,57,buggy
10,0.006048,0.000672,1,1,133,4,2,11,132,2,2,2,1,109,109,1488,clean
5,0.003806,0.000951,0,1,52,2,2,21,52,1,51,278,0.183453,190,190,1051,buggy
2,0.011905,0.011905,0,2,254,4,2,0,145,1,45,201,0.348259,516,365,84,clean
7,0.025157,0.018868,2,5,275,9,4,22,0,1,5,5,0.2,239,190.5,159,buggy
2,0.007874,0.007874,0,5,259,6,2,21,0,1,1,1,1,263,263,127,buggy
1,0,0.00289,0,2,110,3,2,13,0,1,22,70,0.042857,392,241,346,buggy
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,962,clean
48,0.96,0.96,0,0,0,1,1,13,0,2,22,59,0.305085,346,186.83333,25,clean
27,0.002842,0.00306,3,23,104,36,2,8,0,1,1,1,1,111,111,4575,buggy
2,0,0.058824,0,1,414,2,2,16,414,1,54,421,0.114014,303,144.33333,34,buggy
4,0.006061,0.006061,0,1,14,2,1,8,14,2,5,5,1,305,154,330,buggy
4,0.002954,0.002954,1,1,0,1,1,20,0,1,3,38,0.078947,135,86.5,677,buggy
8,0.001221,0.001221,3,2,109,4,3,21,0,1,9,14,0.142857,385,234,3276,buggy
0,0,0,0,0,0,1,1,8,0,1,16,212,0.004717,289,289,71,clean
4,0.009709,0.009709,1,1,67,2,2,3,67,1,4,5,0.6,28,28,206,buggy
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,157,clean
2,0,0.055556,0,0,0,1,1,14,0,1,11,58,0.189655,288,129.33333,36,clean
4,0.043478,0.043478,1,1,0,1,1,20,0,1,3,38,0.078947,135,86.5,46,buggy
7,0.019231,0.025641,0,1,0,1,1,17,0,1,24,95,0.178947,199,199,156,buggy
1,0.008065,0,0,2,330,7,5,14,17,1,1,3,0.333333,2,2,124,clean
5,0.004702,0.003135,0,2,136,4,2,15,5,1,1,1,1,205,205,638,clean
6,0.009009,0.009009,0,2,497,5,2,22,20,2,7,16,0.5,423,263.8333,333,buggy
10,0.007825,0.007825,4,2,103,4,1,7,0,1,13,30,0.466667,388,237,639,buggy
0,0,0,0,0,0,1,1,11,0,1,1,1,1,371,211.83333,216,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,27,clean
0,0,0,0,0,0,1,1,9,0,1,63,663,0.001508,6,6,257,clean
375,0.019743,0.063443,14,18,111,24,1,20,17,1,1,4,1,39,39,4508,buggy
26,0.027714,0.002309,0,8,302,13,4,11,3,1,21,68,0.073529,193,193,866,buggy
8,0.028571,0.009524,2,2,275,5,4,21,0,1,5,5,0.4,1,1,210,clean
2,0,0.068966,0,2,110,3,2,13,0,1,22,70,0.042857,392,241,29,buggy
8,0.029091,0,2,0,0,2,1,0,0,1,1,1,1,553,402,275,clean
