@relation incubator-dolphinscheduler_developer_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute isBuggy {clean,buggy}

@data
5,0.015576,0,4,1,3,7,6,10,0,4,11,26,0.384615,4,4,321,clean
25,0.170068,0,2,0,0,2,2,10,0,2,2,2,0.5,16,16,147,clean
120,0.056457,0.021415,10,6,21,40,11,23,0,4,26,69,0.043478,9,9,1541,clean
105,1.552239,0.014925,2,2,13,10,5,17,4,4,21,56,0.232143,4,4,67,clean
3,0.007874,0,0,2,1,3,2,15,0,3,7,6,0.166667,4,4,381,buggy
3,0.023438,0,0,0,0,2,1,17,0,1,1,2,1,30,30,128,clean
2,0.003135,0.003135,0,3,52,11,6,15,9,3,5,5,0.6,1,1,319,clean
8,0.225806,0.032258,0,2,2,4,2,9,0,4,9,11,0.090909,2,2,31,clean
27,0.183673,0,2,0,2,5,5,10,0,4,9,10,0.4,13,13,147,clean
14,0.08642,0,0,0,23,5,4,16,0,5,23,67,0.059701,4,4,162,clean
6,0.007255,0,2,1,39,15,10,0,1,4,8,9,0.777778,10,10,827,clean
57,0.039264,0.030675,5,4,12,23,9,17,0,4,21,56,0.232143,4,4,815,clean
35,0.375,0.022727,2,2,13,9,5,17,4,4,21,56,0.232143,4,4,88,clean
15,0.09901,0.049505,1,3,18,8,4,18,1,3,4,11,0.636364,13,13,101,buggy
6,0.013514,0.002703,0,0,4,6,4,16,0,4,22,61,0.114754,53,53,370,clean
3,0.013333,0.006667,0,1,13,19,8,23,0,4,26,69,0.043478,9,9,150,clean
2,0.003407,0,1,1,22,6,5,13,4,5,18,52,0.192308,1,1,587,clean
6,0.026432,0,0,6,6,14,6,16,0,2,4,5,0.2,16,16,227,clean
49,0.133333,0.070833,2,1,11,8,7,17,0,4,22,61,0.016393,7,7,240,clean
2,0.015504,0,0,3,50,15,10,10,0,5,9,13,0.461538,24,24,129,clean
28,0.053743,0,2,2,6,11,6,16,1,4,22,61,0.114754,53,53,521,clean
4,0.006873,0,1,1,7,14,7,23,0,4,26,69,0.043478,9,9,582,clean
10,0.113208,0.075472,3,1,0,1,1,15,0,2,4,5,0.4,11,11,53,buggy
7,0.016447,0.006579,1,6,39,38,11,11,2,5,12,18,0.333333,1,1,304,clean
199,0.899521,0.052632,2,2,9,26,8,23,0,4,26,69,0.043478,9,9,209,clean
2,0.004167,0.004167,0,1,20,10,7,19,0,1,1,1,1,32,32,240,clean
35,0.208333,0.034722,4,2,36,10,4,18,0,1,2,21,0.095238,17,17,144,clean
4,0.004717,0.001572,0,2,16,17,9,17,0,4,22,61,0.016393,7,7,636,clean
7,0.004739,0.011848,1,3,16,18,8,16,0,4,22,61,0.114754,53,53,422,clean
15,0.02809,0,2,2,4,9,6,11,0,4,9,18,0.166667,17,17,534,clean
