@relation camel_Master_NGLP_Metric_last_label

@attribute 'Modify Lines' numeric
@attribute 'Add Lines' numeric
@attribute 'Delete Lines' numeric
@attribute 'Distribution modified Lines' numeric
@attribute numOfBIC numeric
@attribute fileAge numeric
@attribute SumOfSourceRevision numeric
@attribute SumOfDeveloper numeric
@attribute CommitHour numeric
@attribute AGE numeric
@attribute numOfSubsystems numeric
@attribute numOfDirectories numeric
@attribute numOfFiles numeric
@attribute NUC numeric
@attribute developerExperience numeric
@attribute REXP numeric
@attribute LT numeric
@attribute NGLP numeric
@attribute isBuggy {buggy,clean}

@data
2,0.003846,0.003846,0,2,145,4,4,23,18,1,58,267,0.404494,20,11,260,15.279579,buggy
19,0.069231,0.076923,0,3,78,5,2,8,1,3,132,162,0.049383,157,108.5,130,558.296978,clean
5,0,0.050505,0,5,838,8,8,7,41,2,197,199,0.075377,768,537,99,39.797769,buggy
2,0.004808,0.004808,0,1,0,1,1,12,0,2,71,82,0.097561,66,66,208,23.670944,buggy
2,0.025,0.025,0,1,42,2,2,21,42,7,1736,7872,0.132495,145,57.666668,40,0,clean
2,0.002342,0.002342,0,8,80,13,3,11,0,1,1,1,1,762,531,427,0,clean
94,0.486726,0.345133,1,2,121,5,3,18,9,3,294,601,0.016639,116,116,113,379.343475,buggy
0,0,0,0,1,0,1,1,8,0,2,122,1710,0.001754,137,88.5,88,-0,buggy
4,0.037037,0.037037,1,1,0,1,1,12,0,1,4,22,0.045455,1,1,54,0,buggy
8,0,0.129032,1,3,78,4,3,18,2,1,5,46,0.130435,180,131.5,62,-0,buggy
14,0.017136,0,1,3,0,3,1,18,0,3,3,5,0.4,207,207,817,95.452721,buggy
50,0.026738,0.240642,4,7,113,9,2,15,0,2,8,10,0.6,211,162.5,187,0,buggy
2,0,0.036364,0,0,0,1,1,17,0,4,226,1066,0.124765,42,42,55,0,clean
2,0.00885,0.00885,0,1,105,3,2,13,13,1,285,493,0.018256,65,65,113,0,clean
18,0.098901,0.098901,1,0,0,1,1,14,0,1,1,4,0.25,1,1,91,3.321928,clean
2,0.014925,0.014925,0,4,791,8,5,21,243,7,1736,7872,0.132495,145,57.666668,67,0,clean
5,0.010526,0,4,10,162,12,7,14,7,2,2,2,1,591,591,475,54.69684,clean
0,0,0,0,1,0,1,1,11,0,6,34,181,0.066298,107,58.5,187,0,buggy
5,0.005571,0.008357,1,21,702,29,8,8,104,6,153,288,0.246528,126,77.5,359,0,buggy
17,0.025487,0,1,1,209,2,2,17,209,2,4,5,0.8,227,191,667,136.794484,buggy
2,0.008772,0.008772,0,1,111,4,3,10,5,1,282,487,0.002053,44,44,114,0,clean
2,0.005587,0.005587,0,2,608,2,2,10,608,7,817,2007,0.159442,43,43,179,0,buggy
2,0.009709,0.009709,0,0,0,1,1,21,0,7,1736,7872,0.132495,145,57.666668,103,0,clean
4,0.05,0.05,0,0,0,1,1,17,0,1,2,4,0.5,59,59,40,0,clean
4,0.019231,0.019231,1,1,0,1,1,14,0,3,16,24,0.125,25,25,104,6.995485,buggy
1,0,0.001656,0,2,163,4,2,15,40,1,7,9,0.666667,82,82,604,0,clean
319,0.905556,0.866667,0,1,119,2,2,22,119,1,4,13,0.384615,1,1,180,656.144733,buggy
2,0.045455,0.045455,0,0,0,1,1,21,0,7,1736,7872,0.132495,145,57.666668,22,0,clean
2,0.002123,0.002123,0,1,42,3,3,21,32,7,1736,7872,0.132495,145,57.666668,471,0,clean
18,0.068182,0.068182,8,1,0,1,1,12,0,2,2,296,0.003378,1121,814,132,0,buggy
14,0.05303,0.05303,0,2,17,4,3,17,1,1,292,301,0.006645,119,119,132,-0,buggy
