Commit Hash,Modify Lines,Add Lines,Delete Lines,Distribution modified Lines,Modify Files,Directories,SumOfSourceRevision,SumOfDeveloper,LSTM C.E.,bug
0648dc311be962c13b4ffbd8b933432897debd32,91,51,40,17,9,7,13,9,11.00195313,0
461e7a4f0c126b76b634ca3e1e3eb20fab38051a,4,2,2,1,1,1,40,6,3.774124861,0
59b38995d2586c4248be05727c76b0f77b80a421,2925,2774,151,40,45,11,370,95,26.54137421,0
eaef9ebe033cf5d8ae8bb014cfafdc4dcd6b7aa8,125,125,0,3,3,1,6,3,22.69869614,0
b8b482ecaa4f9ac72ef16a8f243186246d68ff10,22,11,11,0,2,2,10,8,4.532516479,0
67f3e75c41931b93d2cbfb56636a622adb4cad40,36,22,14,1,1,1,9,1,6.043793678,0
8c9db973511055e773413061d88b843c5a45e4aa,10,2,8,1,3,1,6,3,3.818056107,0
e3993206f0aa90496dca6f370c1cc0087a4cdba2,7,7,0,0,1,1,3,2,4.478003502,0
d043b294d9dda598ea60d1e553425a1781571e76,5,3,2,0,2,2,2,2,4.147893906,0
59c871814b01f3709af80a297663f7af0749cb41,260,95,165,15,2,2,26,10,18.71772385,0
16cacfe1732d8afa72b46f48ec7dc1c324752e00,882,421,461,20,8,3,41,14,20.82529831,0
6e2773599798142c773a1274e96c5337f5a8cd23,7,4,3,0,2,2,2,2,4.269983768,0
dd7dc16db086060e3ae44a4e02d2b690b0b15a29,2,1,1,0,1,1,1,1,3.825187206,0
f3d9eaa48a87ceea042dcae58a94c1e69d91e750,72,54,18,2,2,1,30,5,15.19498539,1
b642b16705a31de0359a3288aa708f9082f67e5d,7,7,0,0,1,1,3,1,4.400219917,0
0335d6633d428f9937fa16f9e345ec4a7ae00d88,31,23,8,2,1,1,1,1,6.898978233,0
03ad8395f5b1cb149fc1da2501ecfa9db1773d9e,231,88,143,11,7,6,61,16,17.45625114,0
edbd0a2989df3efc1e622c2242bfcf86c7655ee8,11,2,9,2,1,1,10,5,3.946459055,0
f6c61a0852a57b49326b60cbe0b886e36ecbb48a,4,2,2,0,2,2,4,3,4.180421829,0
2dd4418a2271e980511bbd6382c37f5130aa6e3a,98,98,0,2,2,2,7,4,19.25066376,0
2b6207677455050aa30e60970f3ebf5e233e9c52,3,2,1,0,1,1,17,5,4.112485886,0
19bbb543a23945ba29035ea76da2d74e58b8df70,2,1,1,0,1,1,2,2,3.992431402,0
4744cfc82cc355b67152d73192b53ebb12942205,160,148,12,4,5,2,21,8,19.52277946,0
d8939c6159c00caf559e749f0f661881b9a3906a,210,106,104,12,7,6,82,28,20.26155281,0
a7ec6220459e4b9bf3bcb1be7f856779e94e0b1a,2,1,1,0,1,1,3,1,3.864554405,0
2934c5506f9caa237868fbbb5aabf247106ec16b,2008,1966,42,32,26,5,64,31,25.07003403,0
d1ecb43717988b7775380992f3fb1194c8a39b84,2287,2091,196,54,47,23,500,114,23.86120415,0
f19d8b267e1976f655e2c7509e6c7ce67c0c9496,884,570,314,4,3,1,3,3,22.11560059,0
a850230c6b883adcf469e20b6ae761a536c29379,28,21,7,3,4,2,48,10,6.574929714,0
4a819f41ac8d19cb9bc043e58f9997b55143f54a,6,6,0,1,1,1,20,5,4.402480602,0
2c1b6c84b589b004aeab76099578aa0aee2bbab0,17,10,7,2,2,2,29,6,5.884857178,0
27771c3faf67634dc53287fb0d99ee37ef8befb2,98,48,50,3,1,1,7,3,13.40086269,0
351ce8b5ab94055010744667f89b3f9d6df53649,43,32,11,3,2,2,38,8,6.960421085,0
9d92b22c25881142289d3ca37f851253ca278ec2,13,5,8,1,3,2,9,3,4.161633968,0
cd94414b9a4170fd5abfd524db53266c46d46411,5,1,4,1,1,1,1,1,3.962343693,0
e44ca811387b457b9bf1227ca87f07c6ac6fecf2,2,1,1,0,1,1,10,3,3.923537493,0
be946b4254335da2cdbac2ef30c3f80daed08562,7,7,0,2,3,3,29,11,4.13826561,0
f68776bc8672d010bb4bade41da6df40fb9d3b28,502,319,183,9,11,5,44,16,18.94828224,1
40ededc3ce05d4b1c27b1b58ae13ad98aca74996,8,6,2,1,1,1,4,2,4.302809715,0
c429c1d8e6fa7a7473001289985a9265fcc4ff37,46,32,14,2,5,3,22,17,11.93175888,0
0e8c032422dd3180a7b84e03a0dd6b9eccedf981,7,4,3,1,2,2,2,2,4.186741829,1
f754a3112e15045a298578e6debcb171e9f0b424,198,98,100,25,46,35,330,119,20.34155655,0
ee35d148b159de7b7fe685dc53d3acd84a519357,230,212,18,13,9,5,36,21,18.42861557,0
7ab5fe9410c26542878536f59a472d494c187de2,143,111,32,9,8,4,37,22,19.59282494,0
c3d6d17894b98f5fb340964cdd8e2f269e27acf0,65,41,24,1,1,1,5,3,13.07973862,0
cd9add57460260256421da08918b597a266196c2,4,2,2,0,2,1,33,6,4.112485886,0
20c0cbe11b327db12ad4d87893614046adffe7da,42,1,41,11,1,1,3,1,3.998027325,0
d6dc5cd870ff650e1e7b70d24372f763211afe5b,587,416,171,31,31,20,288,114,22.37032127,0
cce4e2872cb5d32038f389e5e75c6f62581a7bb7,4,2,2,1,1,1,6,3,3.863099337,0
32bfee798e786e164dd012c079808aa91703e396,25,13,12,0,3,2,10,3,5.157688618,0
b3f5c5a33f7e01bb0fb335d206df71d97523a3de,45,23,22,6,4,3,96,22,5.886538506,1
db2017be1ae6881974a90465f4be48c06b259d59,91,49,42,10,5,3,53,10,12.85368633,0
116ffb87c5e1731e5ff847cf6773d9927be5a91c,19,14,5,1,3,2,13,7,5.982630253,0
cdf47744a43f682902fd3747928b4a0b98e4dfb5,7,7,0,1,1,1,4,3,4.501379967,0
f75bf1473b5cee79f5ce20adb3e87bedc892b962,88,76,12,4,1,1,2,2,14.68584442,0
9c591200873573455135709456fbea0fb46b6999,78,43,35,8,4,2,17,6,9.971136093,0
4b1f560836cf8b5e30da3dcdad970389ab4c8c1f,289,265,24,1,4,3,12,6,16.97524834,0
c5fbfdc1bff0b91a8dbf1696df5ab41abcb0c6cb,30,23,7,3,1,1,1,1,6.830491066,0
e512f51b10c479fa8fb24573d7b9112cde8e0fda,19,18,1,1,1,1,2,1,5.694712162,0
de3d637482d882573ec4204c7374b863a1cb2981,135,96,39,13,5,5,59,18,19.28686905,0
62656645e698792116e82495320cca131ae45304,81,51,30,15,1,1,10,5,8.211331367,0
322e1a5d6e5a28d530482b6706cc4bdcd4b65cbd,23,13,10,0,1,1,3,2,4.569121361,0
8938fc9b353d2c815c306b787cbfe08a612e213a,2,1,1,0,1,1,4,2,3.992431402,0
9b92dd99e94f4ad1655483f43948ebf9590a726e,2,1,1,0,1,1,1,1,3.864554405,0
6550960a23bc275762bf4540b27f77e8330f7981,8,4,4,0,1,1,8,5,4.084656239,0
60fac86eed66e0fe5b11824754923c524eec9f0e,4,2,2,0,1,1,1,1,3.851831436,0
cb79b3afcb3c000ef5358f4051ba1c8aa3ce9266,117,84,33,10,4,3,6,4,18.56106377,0
f367e23c3413ef4a10df4b775f07d3139a900bc1,15,10,5,3,1,1,15,5,5.482350826,0
27ea30b73855d7a3cf0cd9561d2089295ec03353,310,286,24,3,3,1,17,9,21.05058289,0
613eacb9655222c00ca0db3e00d0db67cbc7780a,2,2,0,1,1,1,20,8,4.096375465,0
f68a670725e160ee8c17fdaec4cd07b56a670b8b,236,180,56,3,2,2,17,7,17.37828445,0
941381b36c9132c53172988c1c1f6635db406255,419,346,73,28,10,4,126,42,21.41482353,0
ee7507df9fe24abcf076e449807dc8d056699392,396,279,117,32,13,3,50,24,19.33348846,0
2e3d1fa27d9f7d3d56fd0b83f7a3cd56a71a474d,1336,1053,283,16,12,2,93,39,20.25057793,0
e86923895d4b34256c71d6717c8ad7aa3ab3b055,227,226,1,10,4,3,10,4,23.11961174,0
2a5381f9ff7e7581b1c6dde5e484ddcd486a7286,55,34,21,3,1,1,11,4,8.61739254,0
32ae0e22855e55ff62b3aed900185cc0de16c98f,30,13,17,3,1,1,1,1,4.996566772,0
10ff0beed4d44a5c61c95d280c4e6ac306c22bba,58,30,28,6,4,3,7,5,13.0075655,1
e2f53c31174ec79461049a9b6830d22c94859be7,90,87,3,3,2,1,4,2,16.00039291,0
c524e9bb29418663efd8a962618294cce9c5623b,3,3,0,0,1,1,50,11,3.863099337,0
30427c16ac7ffbd20a606b728889237a2505f405,1022,872,150,23,21,6,124,33,21.37465096,1
5c5518a765f5c22749be3a2b9cac6ab5431f4627,349,278,71,37,9,5,20,20,19.79595757,0
0e904ec4ef95377be2047e27eeda7af957ea51f8,2,2,0,0,2,2,22,7,3.83514595,0
3e13dc64f4047eb589d9da46e50561a25290a230,88,47,41,4,3,1,4,4,13.45903587,1
4ee971b42a018dc8887db274283a1606b2f2b32a,6,1,5,1,1,1,1,1,3.779454708,0
951100621da9e6fa91113b348b5deed9c93b08fb,26,18,8,1,1,1,21,6,6.140053749,0
28d9caa5896605e770c21da2a9e461c4f52d6e0d,11,1,10,2,1,1,2,1,3.852752447,0
8d694fc4db6fe2473c5b2dcbbf5bbf3781eb6091,16,9,7,1,1,1,3,2,4.694365025,0
842b4a7ffc3492e31c28230cb5a976706a79e9f7,18,16,2,2,1,1,4,3,5.157426834,0
3c79dbee57b4d59a49b6868c5443082bc3d8c497,94,94,0,1,1,1,1,1,18.71953392,0
d8f6e8e8fec75c6c7ed1d6b6386b4cd82760ebfb,6,2,4,1,1,1,4,2,4.243308544,0
323866042f2d0c7d824506e8ac884604d5e8beea,112,112,0,2,2,1,3,3,23.19361877,0
0f9abc6e934def3599964cef9918d04be9f85237,30,19,11,3,11,3,18,13,4.223217487,0
e2194a6317212aed8f0ce8e2a1b891e9fa54c9a6,4,4,0,0,2,2,23,6,3.860062122,0
bd5843759abc9fa75b6a5ce712d3aa6e210442ba,26,15,11,0,2,1,10,8,4.661714554,0
e79199a7ae2dd045ca038265ff5f1b9dbabdf2cd,44,27,17,8,4,3,48,10,6.975428581,0
4d9524af417d1c89f92341343f2d8e1cd241756c,101,43,58,2,3,2,12,7,10.52042484,0
45c0fe7d8d266074df65bf4b3745e7f42b4af5a4,98,8,90,9,14,7,23,14,4.982316017,0
fa0fb48482c5924251ada9ae2e061dba64245457,2,2,0,0,1,1,1,1,3.935096979,0
b70c39a75618a391fb91ac7cbef3d861944e86f9,88,45,43,4,5,2,61,11,9.572562218,0
29dc64f12230cf4feb52f1da2cdb1404afe8ef72,8,6,2,1,2,2,4,2,4.326340199,0
5f99f5f3bb1a0e34d71048d1cec97f6b81bdbb64,756,556,200,31,34,15,346,100,19.12229919,0
ba3b4b6d1e6d64073db90f69b8a5feda195f3854,67,28,39,0,1,1,4,3,13.96131802,0
4f3b217eb441e9274102c8b8607ab067cff7cc8d,5,5,0,1,1,1,9,4,4.203632832,0
20eb07ca560d85e4bf6d74ae29342422dec665db,1057,532,525,3,3,1,25,5,21.43499565,1
792351dfd43305213cddc18569e5cc66934bf590,16,8,8,3,3,3,16,7,4.822636127,0
89ef3b00e4b44d8d52675f33c0e82e4c604c6132,26,15,11,3,2,1,4,2,4.691018581,0
6857bf5b8dac70937ac51e37735675ef57b83dbb,4,2,2,0,1,1,1,1,3.912128925,0
7e763ece54bd88f0261357107610629d2266b8f3,4,2,2,0,2,1,2,2,4.078246117,0
85a5a3b4e97174e255624eed441e824d87c8304c,4,2,2,0,1,1,27,3,3.985873461,0
